Timestamp,Gender,Age,Department,Are_you_happy_with_your_department_work_area,Why_did_you_chosen_your_department_work_area,Current_year_you_are_studying_in,Cgpa,Are_you_having_proper_sleep_everyday,How_much_time_are_you_sleeping_everyday,Are_you_getting_good_food_diet_everyday,What_is_your_screen_time,On_what_do_you_spend_your_screen_time_more,From_where_you_are_getting_stress,When_you_are_stressed_more,What_will_you_like_to_do_when_you_are_stressed,How_did_you_felt_during_COVID_19_pandemic_period,concentrate_on_your_work_when_you_are_stressed
25-08-2022 21:06,Male,19,CSE,Yes,Future scope,3,8.84,No,7,No,7,Studies,Thinking about future,About Faculty,Doing any physical activity,"Happy, Boring",No
25-08-2022 21:06,Female,19,CSE,Yes,Interested,3,8.23,No,4,Yes,4,Other  ( Series/Movies ),Studies/work,During exams,Listen's Music,Stressed,No
25-08-2022 21:06,Female,19,BIOTECH,Yes,Interested,3,7.93,No,4,No,3,Social Media,Studies/work,During exams,Listen's Music,"Depressed, Stressed, Happy",No
25-08-2022 21:06,Male,19,CSE,Yes,Interested,3,7.98,No,4,No,2,Other  ( Series/Movies ),Health,About Money,Being calm or Being alone,Depressed,No
25-08-2022 21:06,Male,19,CSE,Yes,Future scope,2,0,Yes,8,Yes,2,Social Media,Thinking about future,About Money,Listen's Music,Boring,Yes
25-08-2022 21:07,Female,19,BIOTECH,Yes,Future scope,3,8,Yes,9,No,2,Other  ( Series/Movies ),Thinking about future,During exams,Being calm or Being alone,Depressed,No
25-08-2022 21:07,Male,19,CSE,Yes,Due to Family pressure,3,7.89,Yes,8,No,5,Social Media,Thinking about future,About Money,Listen's Music,Happy,No
25-08-2022 21:08,Female,19,CSE,Yes,Future scope,3,7.68,Yes,8,No,4,Other  ( Series/Movies ),Thinking about future,During exams,Listen's Music,"Depressed, Stressed, Boring",No
25-08-2022 21:09,Female,19,CSE,No,Future scope,3,8.51,Yes,5,No,4,Social Media,Studies/work,During exams,Listen's Music,Boring,No
25-08-2022 21:09,Female,19,IT,No,Future scope,2,8.94,No,8,No,5,Social Media,All of the above,About Money,Sharing feelings with someone,Depressed,No
25-08-2022 21:10,Female,19,CSE,Yes,Interested,3,7.6,No,5,Yes,10,Other  ( Series/Movies ),Studies/work,No sleep,Meditation,Happy,No
25-08-2022 21:10,Male,19,CSE,Yes,All are choosing so I also chosen,3,7.5,Yes,5,Yes,4,Social Media,Thinking about future,About Love,Doing any physical activity,Happy,No
25-08-2022 21:11,Male,19,CSE,No,Future scope,2,8.26,No,8,No,5,Studies,Studies/work,During exams,Listen's Music,Stressed,No
25-08-2022 21:11,Male,19,CSE,No,Interested,3,6.19,No,8,No,5,Other  ( Series/Movies ),Family,About Money,Being calm or Being alone,Happy,Yes
25-08-2022 21:11,Male,19,CSE,Yes,Future scope,3,8.53,Yes,9,Yes,4,Social Media,Family,About Money,Listen's Music,"Depressed, Stressed",No
25-08-2022 21:11,Male,19,CSE,Yes,Future scope,3,0,No,8,No,8,Other  ( Series/Movies ),Studies/work,During exams,Travelling,Stressed,No
25-08-2022 21:11,Female,19,CSE,Yes,Future scope,3,8,Yes,7,Yes,4,Social Media,Thinking about future,During exams,Sharing feelings with someone,Happy,No
25-08-2022 21:12,Male,17,CSE,Yes,Interested,3,8.21,Yes,7,No,4,Social Media,Thinking about future,During exams,Listen's Music,"Stressed, Boring",No
25-08-2022 21:13,Male,20,CSE,Yes,Interested,3,7.79,Yes,4,No,5,Other  ( Series/Movies ),Thinking about future,No sleep,Being calm or Being alone,Boring,No
25-08-2022 21:13,Female,20,CSE,Yes,Future scope,3,7.05,Yes,7,Yes,4,Studies,Studies/work,During exams,Listen's Music,"Depressed, Stressed, Boring",Yes
25-08-2022 21:13,Male,20,CSE,Yes,Future scope,3,8.29,Yes,6,No,2,Social Media,Thinking about future,During exams,Sharing feelings with someone,Boring,No
25-08-2022 21:14,Male,20,CSE,Yes,Interested,2,8.02,Yes,6,No,4,Social Media,Studies/work,During exams,Sharing feelings with someone,Happy,No
25-08-2022 21:14,Female,20,CSE,Yes,Interested,3,8.01,No,7,No,7,Social Media,Family,About Food,Being calm or Being alone,Happy,No
