,Song,Artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,Cluster
515,Değil Mi?,Can Kazaz,0.563,0.312,11,-11.301,0,0.0274,0.596,0.0466,0.0925,0.215,120.019,audio_features,76VlSfOOD9Xq16PDBSLpQA,spotify:track:76VlSfOOD9Xq16PDBSLpQA,https://api.spotify.com/v1/tracks/76VlSfOOD9Xq16PDBSLpQA,https://api.spotify.com/v1/audio-analysis/76VlSfOOD9Xq16PDBSLpQA,239493,4,Cluster 3
516,Make You Mine - Original Mix,Justin Jay,0.739,0.438,0,-14.503,1,0.0431,0.244,0.0791,0.589,0.0567,126.009,audio_features,0zi88HJt20zquaUZCHHBDi,spotify:track:0zi88HJt20zquaUZCHHBDi,https://api.spotify.com/v1/tracks/0zi88HJt20zquaUZCHHBDi,https://api.spotify.com/v1/audio-analysis/0zi88HJt20zquaUZCHHBDi,476222,4,Cluster 1
517,Ne Tuhaf,Birsen Tezer,0.432,0.302,7,-12.631,1,0.0388,0.71,1.34e-06,0.148,0.134,143.912,audio_features,3o82LsmSlY7uvH5fPnBWGr,spotify:track:3o82LsmSlY7uvH5fPnBWGr,https://api.spotify.com/v1/tracks/3o82LsmSlY7uvH5fPnBWGr,https://api.spotify.com/v1/audio-analysis/3o82LsmSlY7uvH5fPnBWGr,262867,4,Cluster 3
518,İçimde Ölen Biri,Can Gox,0.554,0.616,9,-8.166,0,0.0345,0.584,2.72e-06,0.302,0.39,106.008,audio_features,08usfDWsCeDYcTBAJ5YeHe,spotify:track:08usfDWsCeDYcTBAJ5YeHe,https://api.spotify.com/v1/tracks/08usfDWsCeDYcTBAJ5YeHe,https://api.spotify.com/v1/audio-analysis/08usfDWsCeDYcTBAJ5YeHe,241592,4,Cluster 3
519,Drift,Jan Blomqvist,0.896,0.421,2,-10.343,0,0.0865,0.0575,0.631,0.0974,0.205,124.017,audio_features,5SeYB9Q4sbtdgCVfMj8XG7,spotify:track:5SeYB9Q4sbtdgCVfMj8XG7,https://api.spotify.com/v1/tracks/5SeYB9Q4sbtdgCVfMj8XG7,https://api.spotify.com/v1/audio-analysis/5SeYB9Q4sbtdgCVfMj8XG7,508987,4,Cluster 1
520,Moments,Be Svendsen,0.605,0.579,9,-22.047,0,0.0382,0.989,0.843,0.0901,0.964,90.033,audio_features,07b7tB6HjjM6NQP0RFFhFh,spotify:track:07b7tB6HjjM6NQP0RFFhFh,https://api.spotify.com/v1/tracks/07b7tB6HjjM6NQP0RFFhFh,https://api.spotify.com/v1/audio-analysis/07b7tB6HjjM6NQP0RFFhFh,297397,4,Cluster 1
521,Flint,Be Svendsen,0.73,0.548,9,-12.993,0,0.031,0.601,0.818,0.115,0.418,118.02,audio_features,1cj3rNifHmHL6KWUQmqIC6,spotify:track:1cj3rNifHmHL6KWUQmqIC6,https://api.spotify.com/v1/tracks/1cj3rNifHmHL6KWUQmqIC6,https://api.spotify.com/v1/audio-analysis/1cj3rNifHmHL6KWUQmqIC6,358000,4,Cluster 1
522,Le Piroguier - Be Svendsen Remix,Be Svendsen,0.814,0.72,9,-8.949,1,0.0708,0.158,0.797,0.119,0.389,111.008,audio_features,2qVc3mVAW2MCsVzTC5rKaq,spotify:track:2qVc3mVAW2MCsVzTC5rKaq,https://api.spotify.com/v1/tracks/2qVc3mVAW2MCsVzTC5rKaq,https://api.spotify.com/v1/audio-analysis/2qVc3mVAW2MCsVzTC5rKaq,453139,4,Cluster 1
523,Falling,Be Svendsen,0.776,0.563,0,-11.064,1,0.0493,0.101,0.891,0.112,0.714,114.021,audio_features,3Gh71mvjQv0LhKU0Tc7gpX,spotify:track:3Gh71mvjQv0LhKU0Tc7gpX,https://api.spotify.com/v1/tracks/3Gh71mvjQv0LhKU0Tc7gpX,https://api.spotify.com/v1/audio-analysis/3Gh71mvjQv0LhKU0Tc7gpX,340545,4,Cluster 1
524,Andromeda,Be Svendsen,0.795,0.609,10,-10.536,1,0.0613,0.074,0.762,0.0572,0.595,114.005,audio_features,4pKcy4dZzal1PTAOBGWr8N,spotify:track:4pKcy4dZzal1PTAOBGWr8N,https://api.spotify.com/v1/tracks/4pKcy4dZzal1PTAOBGWr8N,https://api.spotify.com/v1/audio-analysis/4pKcy4dZzal1PTAOBGWr8N,406117,4,Cluster 1
